172	30	29	1
173	30	29	1
174	28	27	1
175	26	25	1
176	28	27	1
177	30	29	1
178	33	33	0
179	37	36	1
180	37	36	1
181	35	35	0
182	35	35	0
183	35	35	0
184	35	35	0
185	33	33	0
186	35	35	0
187	35	35	0
188	33	33	0
189	31	31	0
190	31	31	0
191	30	29	1
192	28	27	1
193	24	24	0
194	20	20	0
195	17	16	1
196	13	12	1
197	13	12	1
198	15	14	1
199	18	18	0
200	24	24	0
201	33	33	0
202	41	40	1
203	50	49	1
204	57	57	0
205	65	64	1
206	72	72	0
207	79	79	0
208	83	83	0
209	72	72	0
210	48	48	0
211	31	31	0
212	26	25	1
213	28	27	1
214	26	25	1
215	22	22	0
216	20	20	0
217	18	18	0
218	20	20	0
219	22	22	0
220	24	24	0
221	24	24	0
222	26	25	1
223	26	25	1
224	26	25	1
225	26	25	1
226	26	25	1
227	24	24	0
228	24	24	0
229	22	22	0
230	20	20	0
231	18	18	0
232	18	18	0
233	18	18	0
234	17	16	1
235	17	16	1
236	15	14	1
237	13	12	1
238	11	11	0
239	11	11	0
240	11	11	0
241	11	11	0
242	11	11	0
243	11	11	0
244	13	12	1
245	15	14	1
246	15	14	1
247	17	16	1
248	18	18	0
249	18	18	0
250	18	18	0
251	18	18	0
252	18	18	0
253	17	16	1
254	15	14	1
255	15	14	1
256	15	14	1
257	17	16	1
258	18	18	0
259	22	22	0
260	28	27	1
261	31	31	0
262	35	35	0
263	37	36	1
264	37	36	1
265	37	36	1
266	37	36	1
267	37	36	1
268	39	38	1
269	39	38	1
270	39	38	1
271	39	38	1
272	37	36	1
273	37	36	1
274	37	36	1
275	35	35	0
276	31	31	0
277	26	25	1
278	20	20	0
279	18	18	0
280	17	16	1
281	17	16	1
282	18	18	0
283	20	20	0
284	22	22	0
285	26	25	1
286	31	31	0
287	37	36	1
288	39	38	1
289	41	40	1
290	41	40	1
291	41	40	1
292	41	40	1
293	41	40	1
294	39	38	1
295	39	38	1
296	39	38	1
297	39	38	1
298	41	40	1
299	43	42	1
300	44	44	0
301	44	44	0
302	44	44	0
303	44	44	0
304	43	42	1
305	41	40	1
306	39	38	1
307	39	38	1
308	37	36	1
309	37	36	1
310	35	35	0
311	31	31	0
312	28	27	1
313	22	22	0
314	18	18	0
315	15	14	1
316	13	12	1
317	11	11	0
318	11	11	0
319	11	11	0
320	61	60	1
321	61	60	1
322	65	64	1
323	81	81	0
324	107	107	0
325	137	136	1
326	164	164	0
327	179	179	0
328	177	177	0
329	161	160	1
330	133	133	0
331	105	105	0
332	85	85	0
333	72	72	0
334	67	66	1
335	65	64	1
336	59	59	0
337	55	55	0
338	54	53	1
339	55	55	0
340	55	55	0
341	52	51	1
342	48	48	0
343	43	42	1
344	41	40	1
345	41	40	1
346	43	42	1
347	43	42	1
348	41	40	1
349	41	40	1
350	41	40	1
351	46	46	0
352	50	49	1
353	52	51	1
354	50	49	1
355	50	49	1
356	46	46	0
357	44	44	0
358	46	46	0
359	48	48	0
360	50	49	1
361	54	53	1
362	52	51	1
363	48	48	0
364	46	46	0
365	48	48	0
366	54	53	1
367	57	57	0
368	61	60	1
369	67	66	1
370	78	77	1
371	92	92	0
372	111	110	1
373	126	125	1
374	135	134	1
375	133	133	0
376	124	123	1
377	113	112	1
378	94	94	0
379	76	75	1
380	57	57	0
381	52	51	1
382	52	51	1
383	54	53	1
384	54	53	1
385	50	49	1
386	44	44	0
387	41	40	1
388	39	38	1
389	41	40	1
390	43	42	1
391	41	40	1
392	37	36	1
393	37	36	1
394	37	36	1
395	39	38	1
396	39	38	1
397	39	38	1
398	41	40	1
399	41	40	1
400	44	44	0
401	48	48	0
402	48	48	0
403	46	46	0
404	44	44	0
405	43	42	1
406	44	44	0
407	46	46	0
408	48	48	0
409	48	48	0
410	46	46	0
411	46	46	0
412	44	44	0
413	48	48	0
414	48	48	0
415	48	48	0
416	55	55	0
417	68	68	0
418	89	88	1
419	109	109	0
420	128	127	1
421	137	136	1
422	140	140	0
423	133	133	0
424	120	120	0
425	102	101	1
426	83	83	0
427	67	66	1
428	54	53	1
429	43	42	1
430	35	35	0
431	31	31	0
432	30	29	1
433	30	29	1
434	24	24	0
435	20	20	0
436	18	18	0
437	18	18	0
438	18	18	0
439	17	16	1
440	15	14	1
441	13	12	1
442	13	12	1
443	13	12	1
444	15	14	1
445	15	14	1
446	15	14	1
447	17	16	1
448	18	18	0
449	18	18	0
450	20	20	0
451	22	22	0
452	22	22	0
453	18	18	0
454	17	16	1
455	18	18	0
456	24	24	0
457	30	29	1
458	33	33	0
459	35	35	0
460	31	31	0
461	30	29	1
462	31	31	0
463	41	40	1
464	61	60	1
465	91	90	1
466	118	118	0
467	137	136	1
468	139	138	1
469	122	121	1
470	94	94	0
471	63	62	1
472	41	40	1
473	31	31	0
474	28	27	1
475	30	29	1
476	35	35	0
477	37	36	1
478	35	35	0
479	33	33	0
480	31	31	0
481	28	27	1
482	24	24	0
483	24	24	0
484	24	24	0
485	22	22	0
486	22	22	0
487	24	24	0
488	24	24	0
489	24	24	0
490	24	24	0
491	26	25	1
492	30	29	1
493	30	29	1
494	28	27	1
495	26	25	1
496	28	27	1
497	30	29	1
498	33	33	0
499	35	35	0
500	33	33	0
501	31	31	0
502	28	27	1
503	26	25	1
504	26	25	1
505	30	29	1
506	31	31	0
507	33	33	0
508	35	35	0
509	35	35	0
510	33	33	0
511	30	29	1
512	26	25	1
513	22	22	0
514	18	18	0
515	15	14	1
516	13	12	1
517	11	11	0
518	13	12	1
519	15	14	1
520	20	20	0
521	26	25	1
522	33	33	0
523	39	38	1
524	46	46	0
525	52	51	1
526	59	59	0
527	65	64	1
528	68	68	0
529	59	59	0
530	43	42	1
531	30	29	1
532	26	25	1
533	26	25	1
534	24	24	0
535	22	22	0
536	18	18	0
537	18	18	0
538	20	20	0
539	20	20	0
540	22	22	0
541	22	22	0
542	24	24	0
543	24	24	0
544	24	24	0
545	24	24	0
546	24	24	0
547	22	22	0
548	22	22	0
